intentRecognized,intentScore,inputSentence,spellcheckedSentence,spellingErrors,luisSpellCheck,allEntitiesRecognized,numberEntities,originCity,destinationCity,budget,startDate,numberChildren,numberAdults
true,0.730242133,we are stuck with 2 adults.,,false,false,true,1,,,,,,true
true,0.9138861,I are stuck with 7 aged people.,,false,false,true,1,,,,,,true
true,0.9991411,maybe it's good to mention we have 6 aged people.,,false,false,true,1,,,,,,true
true,0.663098,we are stuck with two mature persons.,,false,false,true,1,,,,,,true
true,0.9940729,maybe it's good to mention I have 2 mature persons.,,false,false,true,1,,,,,,true
true,0.6512569,we are stuck with 7 mature persons.,,false,false,true,1,,,,,,true
true,0.64984864,the trip needs to be accommodated  for 7 women.,,false,false,true,1,,,,,,true
true,0.409721226,I'm stuck with two men.,,false,false,true,1,,,,,,true
true,0.8888968,important: I have eight mature persons.,,false,false,true,1,,,,,,true
false,0.373124957,I'm stuck with nine women.,,false,false,true,1,,,,,,true
true,0.931293249,maybe it's good to mention we have six mature persons.,,false,false,true,1,,,,,,true
true,0.974927,in addition we have nine aged people.,,false,false,true,1,,,,,,true
false,0.6005522,important: I have 10 women.,,false,false,true,1,,,,,,true
true,0.8210467,important: we have nine mature persons.,,false,false,true,1,,,,,,true
true,0.562843561,the trip needs to be accommodated  for 9 mature persons.,,false,false,true,1,,,,,,true
true,0.927095234,the trip needs to be accommodated  for 8 aged people.,,false,false,true,1,,,,,,true
true,0.290266067,I are stuck with ten women.,,false,false,true,1,,,,,,true
true,0.641624033,I'm stuck with five mature persons.,,false,false,true,1,,,,,,true
true,0.7219808,the trip needs to be accommodated  for eight women.,,false,false,true,1,,,,,,true
true,0.9908454,in addition we have 2 aged people.,,false,false,true,1,,,,,,true
true,0.9430664,important: we have two women.,,false,false,true,1,,,,,,true
true,0.997779667,maybe it's good to mention we have 4 women.,,false,false,true,1,,,,,,true
true,0.809243,important: I have 3 adults.,,false,false,true,1,,,,,,true
true,0.846102238,the trip needs to be accommodated  for eight adults.,,false,false,true,1,,,,,,true
true,0.948215,important: I have eight adults.,,false,false,true,1,,,,,,true
true,0.9024125,in addition I have eight men.,,false,false,true,1,,,,,,true
true,0.506190658,we are stuck with 8 mature persons.,,false,false,true,1,,,,,,true
true,0.9349907,the trip needs to be accommodated  for ten aged people.,,false,false,true,1,,,,,,true
true,0.215936869,I are stuck with 1 mature person.,,false,false,true,1,,,,,,true
true,0.3573725,I'm stuck with nine adults.,,false,false,true,1,,,,,,true
false,0.419456959,I'm stuck with 9 men.,,false,false,true,1,,,,,,true
true,0.87097156,in addition I have three men.,,false,false,true,1,,,,,,true
true,0.9941888,important: we have four men.,,false,false,true,1,,,,,,true
true,0.6894456,I are stuck with eight adults.,,false,false,true,1,,,,,,true
true,0.9979924,in addition we have 5 aged people.,,false,false,true,1,,,,,,true
true,0.514381647,the trip needs to be accommodated  for one aged person.,,false,false,true,1,,,,,,true
false,0.270603657,I'm stuck with 6 mature persons.,,false,false,true,1,,,,,,true
true,0.9993181,maybe it's good to mention I have three aged people.,,false,false,true,1,,,,,,true
true,0.928200662,important: I have 2 adults.,,false,false,true,1,,,,,,true
true,0.9884703,important: we have 4 aged people.,,false,false,true,1,,,,,,true
true,0.991462648,maybe it's good to mention we have nine mature persons.,,false,false,true,1,,,,,,true
true,0.429912359,we are stuck with nine mature persons.,,false,false,true,1,,,,,,true
true,0.8843949,important: we have 9 women.,,false,false,true,1,,,,,,true
true,0.959209144,important: I have nine aged people.,,false,false,true,1,,,,,,true
true,0.723866642,I'm stuck with seven adults.,,false,false,true,1,,,,,,true
true,0.9274314,in addition I have three adults.,,false,false,true,1,,,,,,true
false,0.401123822,I'm stuck with 7 women.,,false,false,true,1,,,,,,true
true,0.9994806,maybe it's good to mention I have 7 aged people.,,false,false,true,1,,,,,,true
true,0.7496116,the trip needs to be accommodated  for eight mature persons.,,false,false,true,1,,,,,,true
true,0.9766775,in addition I have ten aged people.,,false,false,true,1,,,,,,true
true,0.493843317,the trip needs to be accommodated  for one mature person.,,false,false,true,1,,,,,,true
true,0.9984758,maybe it's good to mention I have 7 adults.,,false,false,true,1,,,,,,true
true,0.994889736,in addition we have five aged people.,,false,false,true,1,,,,,,true
true,0.987096131,in addition we have 8 aged people.,,false,false,true,1,,,,,,true
true,0.68362397,the trip needs to be accommodated  for 9 adults.,,false,false,true,1,,,,,,true
true,0.9991571,maybe it's good to mention we have seven adults.,,false,false,true,1,,,,,,true
true,0.877400637,the trip needs to be accommodated  for 3 aged people.,,false,false,true,1,,,,,,true
false,0.589911044,I'm stuck with one grownup.,,false,false,true,1,,,,,,true
true,0.9454542,in addition we have 7 men.,,false,false,true,1,,,,,,true
true,0.9794577,important: we have 6 aged people.,,false,false,true,1,,,,,,true
