intentRecognized,intentScore,inputSentence,spellcheckedSentence,spellingErrors,luisSpellCheck,allEntitiesRecognized,numberEntities,originCity,destinationCity,budget,startDate,numberChildren,numberAdults
true,0.9517904,and to add I want to go to Drobeta-Turnu Severin,,false,false,false,1,,false,,,,
true,0.9955883,we want to fly up to Cheltenham,,false,false,true,1,,true,,,,
false,0.709700644,to Tver,,false,false,true,1,,true,,,,
true,0.9974343,we want to fly up to Manila,,false,false,true,1,,true,,,,
true,0.8243385,can we depart from Kōriyama,,false,false,true,1,,true,,,,
true,0.8706031,to Santa Teresa del Tuy,,false,false,false,1,,false,,,,
false,0.575623333,my destination is Jalingo,,false,false,true,1,,true,,,,
true,0.982375443,and to add I want to go to Kigoma,,false,false,true,1,,true,,,,
false,0.709700644,to Marka,,false,false,true,1,,true,,,,
true,0.7598938,to go to Makassar,,false,false,true,1,,true,,,,
true,0.4480306,my destination is Staryy Oskol,,false,false,true,1,,true,,,,
true,0.9979781,I want to fly up to Sakakah,,false,false,true,1,,true,,,,
true,0.5682125,to Hartford,,false,false,true,1,,true,,,,
false,0.709700644,to Ivanovskoye,,false,false,false,1,,false,,,,
true,0.8243385,can we depart from Anyama,,false,false,true,1,,true,,,,
true,0.8243385,can we depart from Natore,,false,false,true,1,,true,,,,
true,0.691088736,can I depart from Reading,,false,false,false,1,,false,,,,
true,0.625283062,can I depart from Atsiaman,,false,false,true,1,,true,,,,
true,0.7929927,to go to Blagoveshchensk,,false,false,true,1,,true,,,,
true,0.5638447,to Ankara,,false,false,true,1,,true,,,,
true,0.968564034,and to add I want to go to Clovis,,false,false,true,1,,true,,,,
true,0.768870234,to go to Al Bāb,,false,false,true,1,,true,,,,
true,0.815468132,can we depart from Nablus,,false,false,true,1,,true,,,,
true,0.9979781,I want to fly up to Beipiao,,false,false,true,1,,true,,,,
false,0.709700644,to Tiébo,,false,false,true,1,,true,,,,
true,0.6893784,can I depart from Laredo,,false,false,true,1,,true,,,,
true,0.996673167,we want to fly up to Rotterdam,,false,false,true,1,,true,,,,
true,0.8243385,can we depart from Bacoor,,false,false,true,1,,true,,,,
true,0.6896784,can I depart from Scarborough,,false,false,true,1,,true,,,,
true,0.9990125,we want to fly up to Esmeraldas,,false,false,true,1,,true,,,,
true,0.995104432,we want to fly up to Bursa,,false,false,true,1,,true,,,,
true,0.9990125,we want to fly up to Targówek,,false,false,true,1,,true,,,,
true,0.8883536,to go to León de los Aldama,,false,false,true,1,,true,,,,
true,0.8176689,can we depart from Osasco,,false,false,true,1,,true,,,,
false,0.575623333,my destination is Sousse,,false,false,true,1,,true,,,,
true,0.5586848,to Livorno,,false,false,true,1,,true,,,,
true,0.6594374,my destination is North Peoria,,false,false,false,1,,false,,,,
true,0.6179062,can I depart from Dąbrowa Górnicza,,false,false,true,1,,true,,,,
true,0.9990125,we want to fly up to Gosāba,,false,false,true,1,,true,,,,
false,0.575623333,my destination is Biysk,,false,false,true,1,,true,,,,
true,0.5290822,my destination is Barra Mansa,,false,false,true,1,,true,,,,
true,0.625283062,can I depart from Shakhty,,false,false,true,1,,true,,,,
false,0.709700644,to Sahāranpur,,false,false,true,1,,true,,,,
true,0.9956593,I want to fly up to El Achir,,false,false,true,1,,true,,,,
true,0.982375443,and to add I want to go to Bergedorf,,false,false,false,1,,false,,,,
true,0.5624998,to Antioch,,false,false,true,1,,true,,,,
