intentRecognized,intentScore,inputSentence,spellcheckedSentence,spellingErrors,luisSpellCheck,allEntitiesRecognized,numberEntities,originCity,destinationCity,budget,startDate,numberChildren,numberAdults
true,0.975737,important: we have  1 kid.,,false,false,true,1,,,,,true,
true,0.979597449,important: we have  one kid.,,false,false,true,1,,,,,true,
true,0.663426042,important: I have  6 daughters.,,false,false,true,1,,,,,true,
true,0.8956809,I'm stuck with  five youngsters.,,false,false,true,1,,,,,true,
true,0.9832949,important: we have  2 kids.,,false,false,true,1,,,,,true,
true,0.935441,we are stuck with  two children.,,false,false,true,1,,,,,true,
true,0.9995636,maybe it's good to mention we have  3 youngsters.,,false,false,true,1,,,,,true,
true,0.383488,the trip needs to be accommodated  for  3 newborns.,,false,false,true,1,,,,,true,
false,0.8487855,important: I have  3 newborns.,,false,false,true,1,,,,,true,
true,0.999734938,maybe it's good to mention we have  9 youngsters.,,false,false,true,1,,,,,true,
true,0.224793777,I are stuck with  8 daughters.,,false,false,true,1,,,,,true,
true,0.5386118,I'm stuck with  seven daughters.,,false,false,true,1,,,,,true,
true,0.9992321,maybe it's good to mention I have  ten children.,,false,false,true,1,,,,,true,
true,0.9998236,maybe it's good to mention we have  three youngsters.,,false,false,true,1,,,,,true,
true,0.993617237,the trip needs to be accommodated  for  four youngsters.,,false,false,true,1,,,,,true,
true,0.998330534,maybe it's good to mention I have  10 youngsters.,,false,false,true,1,,,,,true,
true,0.9613769,in addition I have  4 youngsters.,,false,false,true,1,,,,,true,
true,0.4047552,I'm stuck with  three daughters.,,false,false,true,1,,,,,true,
true,0.870741,I'm stuck with  seven youngsters.,,false,false,true,1,,,,,true,
true,0.9210439,in addition we have  three daughters.,,false,false,true,1,,,,,true,
false,0.353356659,I'm stuck with  6 sons.,,false,false,true,1,,,,,true,
true,0.994123638,maybe it's good to mention I have  9 daughters.,,false,false,true,1,,,,,true,
true,0.977233469,important: I have  2 youngsters.,,false,false,true,1,,,,,true,
true,0.374178231,the trip needs to be accommodated  for  6 daughters.,,false,false,true,1,,,,,true,
true,0.99921757,maybe it's good to mention I have  2 kids.,,false,false,true,1,,,,,true,
true,0.9720761,in addition we have  4 kids.,,false,false,true,1,,,,,true,
false,0.756333351,important: we have  six youngsters.,,false,false,true,1,,,,,true,
true,0.7943485,we are stuck with  1 son.,,false,false,true,1,,,,,true,
true,0.972078443,the trip needs to be accommodated  for  5 kids.,,false,false,true,1,,,,,true,
true,0.993428946,maybe it's good to mention I have  8 newborns.,,false,false,true,1,,,,,true,
true,0.390763253,I are stuck with  three sons.,,false,false,true,1,,,,,true,
false,0.5768759,I are stuck with  six youngsters.,,false,false,true,1,,,,,true,
true,0.804029,we are stuck with  4 youngsters.,,false,false,true,1,,,,,true,
true,0.999840736,maybe it's good to mention I have  5 kids.,,false,false,true,1,,,,,true,
true,0.932173252,the trip needs to be accommodated  for  three children.,,false,false,true,1,,,,,true,
true,0.811526954,important: we have  6 daughters.,,false,false,true,1,,,,,true,
true,0.995095849,important: I have  5 kids.,,false,false,true,1,,,,,true,
true,0.7447056,I'm stuck with  8 children.,,false,false,true,1,,,,,true,
true,0.999287367,maybe it's good to mention we have  5 newborns.,,false,false,true,1,,,,,true,
false,0.3891275,I'm stuck with  9 sons.,,false,false,true,1,,,,,true,
true,0.985162556,important: we have  8 youngsters.,,false,false,true,1,,,,,true,
true,0.9901853,maybe it's good to mention I have  nine sons.,,false,false,true,1,,,,,true,
false,0.621400356,I'm stuck with  9 youngsters.,,false,false,true,1,,,,,true,
true,0.994927943,maybe it's good to mention I have  8 daughters.,,false,false,true,1,,,,,true,
true,0.780523,I'm stuck with  eight kids.,,false,false,true,1,,,,,true,
true,0.650370061,I'm stuck with  2 kids.,,false,false,true,1,,,,,true,
false,0.209015131,the trip needs to be accommodated  for  six sons.,,false,false,true,1,,,,,true,
true,0.6297112,in addition I have  3 newborns.,,false,false,true,1,,,,,true,
true,0.9992545,maybe it's good to mention I have  9 children.,,false,false,true,1,,,,,true,
true,0.9607807,in addition I have  5 newborns.,,false,false,true,1,,,,,true,
true,0.9515479,important: I have  6 children.,,false,false,true,1,,,,,true,
true,0.9689592,in addition we have  nine children.,,false,false,true,1,,,,,true,
true,0.445735663,we are stuck with  9 newborns.,,false,false,true,1,,,,,true,
true,0.999781132,maybe it's good to mention we have  7 children.,,false,false,true,1,,,,,true,
true,0.999971867,maybe it's good to mention we have  5 youngsters.,,false,false,true,1,,,,,true,
false,0.5390624,the trip needs to be accommodated  for  10 sons.,,false,false,true,1,,,,,true,
true,0.7918867,the trip needs to be accommodated  for  five daughters.,,false,false,true,1,,,,,true,
true,0.7689156,the trip needs to be accommodated  for  6 youngsters.,,false,false,true,1,,,,,true,
true,0.998295546,important: we have  four kids.,,false,false,true,1,,,,,true,
true,0.286148459,I are stuck with  one newborn.,,false,false,true,1,,,,,true,
true,0.996926248,maybe it's good to mention I have  two sons.,,false,false,true,1,,,,,true,
true,0.811722755,I'm stuck with  seven kids.,,false,false,true,1,,,,,true,
true,0.7935817,we are stuck with  ten kids.,,false,false,true,1,,,,,true,
true,0.996686459,maybe it's good to mention I have  2 sons.,,false,false,true,1,,,,,true,
true,0.8301237,the trip needs to be accommodated  for  one kid.,,false,false,true,1,,,,,true,
true,0.99598527,maybe it's good to mention I have  7 newborns.,,false,false,true,1,,,,,true,
true,0.956557155,important: I have  1 son.,,false,false,true,1,,,,,true,
true,0.922112048,in addition we have  7 newborns.,,false,false,true,1,,,,,true,
true,0.946156561,in addition I have  6 children.,,false,false,true,1,,,,,true,
true,0.9822019,in addition we have  one child.,,false,false,true,1,,,,,true,
true,0.379875541,I are stuck with  6 kids.,,false,false,true,1,,,,,true,
true,0.8799443,in addition we have  10 kids.,,false,false,true,1,,,,,true,
true,0.9998474,maybe it's good to mention we have  eight youngsters.,,false,false,true,1,,,,,true,
true,0.563344657,I'm stuck with  4 kids.,,false,false,true,1,,,,,true,
true,0.9993858,maybe it's good to mention I have  4 children.,,false,false,true,1,,,,,true,
true,0.983853757,in addition we have  5 daughters.,,false,false,true,1,,,,,true,
true,0.8057996,we are stuck with  one kid.,,false,false,true,1,,,,,true,
