intentRecognized,intentScore,inputSentence,spellcheckedSentence,spellingErrors,luisSpellCheck,allEntitiesRecognized,numberEntities,originCity,destinationCity,budget,startDate,numberChildren,numberAdults
true,0.8499052,my budget is JPY 3557.,,false,false,false,1,,,false,,,
true,0.7912812,"we wanna go all out, I got 3861 EUR.",,false,false,true,1,,,true,,,
true,0.9054454,I saved up pounds 2785.,,false,false,false,1,,,false,,,
true,0.851759732,"we wanna go all out, we got pounds 66.",,false,false,true,1,,,true,,,
true,0.9888359,we only have pounds 3337.,,false,false,false,1,,,false,,,
true,0.947395265,we broke my piggy bank and got  3688 €.,,false,false,true,1,,,true,,,
true,0.972717047,our budget 2101 dollars.,,false,false,true,1,,,true,,,
true,0.96927774,"we got lots of money, to be precise 3604 dollars.",,false,false,true,1,,,true,,,
true,0.8499052,my budget is JPY 3095.,,false,false,false,1,,,false,,,
true,0.973825,the budget is running low.. only got 4355 $.,,false,false,true,1,,,true,,,
true,0.9757765,"we wanna go all out, I got 4740 $.",,false,false,true,1,,,true,,,
true,0.7547498,does this budget suffice: 3239 euro.,,false,false,true,1,,,true,,,
true,0.944063,we broke my piggy bank and got  2508 GBP.,,false,false,true,1,,,true,,,
true,0.8626776,my budget is GBP 3783.,,false,false,false,1,,,false,,,
true,0.9346667,our budget 3390 yen.,,false,false,true,1,,,true,,,
true,0.946588457,we saved up £ 4333.,,false,false,true,1,,,true,,,
true,0.832329333,the budget is running low.. only got 4341 yen.,,false,false,true,1,,,true,,,
true,0.817788959,"we wanna go all out, I got 1026 EUR.",,false,false,true,1,,,true,,,
true,0.907541633,I broke my piggy bank and got  3185 euro.,,false,false,true,1,,,true,,,
true,0.986672342,our budget USD 2534.,,false,false,false,1,,,false,,,
true,0.934837461,the budget is running low.. only got 1001 dollars.,,false,false,true,1,,,true,,,
true,0.9738867,"I got lots of money, to be precise $ 540.",,false,false,true,1,,,true,,,
true,0.9692367,I broke my piggy bank and got  2380 USD.,,false,false,true,1,,,true,,,
true,0.931776,we saved up £ 895.,,false,false,true,1,,,true,,,
true,0.987752736,we broke my piggy bank and got  4123 $.,,false,false,true,1,,,true,,,
true,0.848079145,the budget is running low.. only got 1055 EUR.,,false,false,true,1,,,true,,,
true,0.9174601,"we got lots of money, to be precise JPY 644.",,false,false,false,1,,,false,,,
true,0.871793866,I saved up 2680 JPY.,,false,false,true,1,,,true,,,
true,0.781915963,does this budget suffice: 890 €.,,false,false,true,1,,,true,,,
true,0.9984208,we only have $ 76.,,false,false,true,1,,,true,,,
true,0.8204242,I broke my piggy bank and got  577 €.,,false,false,true,1,,,true,,,
true,0.9720012,"we got lots of money, to be precise 3809 USD.",,false,false,true,1,,,true,,,
true,0.95672965,we saved up 2645 pounds.,,false,false,true,1,,,true,,,
true,0.99795717,we only have 2378 dollars.,,false,false,true,1,,,true,,,
true,0.93261534,we saved up 1415 £.,,false,false,true,1,,,true,,,
true,0.8681391,"I got lots of money, to be precise € 3966.",,false,false,true,1,,,true,,,
true,0.7912812,"we wanna go all out, I got EUR 1341.",,false,false,false,1,,,false,,,
true,0.754738033,does this budget suffice: € 3710.,,false,false,true,1,,,true,,,
true,0.995711267,I only have 4118 dollars.,,false,false,true,1,,,true,,,
true,0.9473956,"we wanna go all out, we got USD 3898.",,false,false,false,1,,,false,,,
true,0.942688644,"I got lots of money, to be precise dollars 1017.",,false,false,false,1,,,false,,,
true,0.9360858,we saved up JPY 3780.,,false,false,false,1,,,false,,,
true,0.9858576,we only have yen 1242.,,false,false,false,1,,,false,,,
true,0.8629333,my budget is 1217 £.,,false,false,true,1,,,true,,,
true,0.846616268,the budget is running low.. only got 2557 JPY.,,false,false,true,1,,,true,,,
true,0.973825,the budget is running low.. only got $ 3302.,,false,false,true,1,,,true,,,
true,0.9823904,we only have 3225 EUR.,,false,false,true,1,,,true,,,
true,0.862163544,my budget is 2764 EUR.,,false,false,true,1,,,true,,,
true,0.818821251,"I wanna go all out, we got 1141 pounds.",,false,false,true,1,,,true,,,
true,0.9480825,I only have pounds 1069.,,false,false,false,1,,,false,,,
true,0.9154193,our budget € 2460.,,false,false,true,1,,,true,,,
true,0.8731999,my budget is 3665 €.,,false,false,true,1,,,true,,,
true,0.901419163,I saved up 2813 €.,,false,false,true,1,,,true,,,
true,0.982010841,we only have ¥ 306800.,,false,false,true,1,,,true,,,
true,0.987692654,we only have euro 4660.,,false,false,false,1,,,false,,,
true,0.7545056,does this budget suffice: JPY 2097.,,false,false,false,1,,,false,,,
true,0.9963071,the budget is running low.. only got 2700 $.,,false,false,true,1,,,true,,,
true,0.973507166,my budget is 2687 dollars.,,false,false,true,1,,,true,,,
true,0.941082835,our budget pounds 1539.,,false,false,false,1,,,false,,,
true,0.9743211,I only have pounds 3180.,,false,false,false,1,,,false,,,
true,0.9385448,our budget 4828 euro.,,false,false,true,1,,,true,,,
true,0.7802702,does this budget suffice: 2306 GBP.,,false,false,true,1,,,true,,,
true,0.950739,does this budget suffice: 1942 $.,,false,false,true,1,,,true,,,
true,0.906026,I broke my piggy bank and got  2361 yen.,,false,false,true,1,,,true,,,
true,0.8681391,"I got lots of money, to be precise 2685 €.",,false,false,true,1,,,true,,,
true,0.997813463,we only have 3420 USD.,,false,false,true,1,,,true,,,
true,0.7821909,does this budget suffice: euro 258.,,false,false,false,1,,,false,,,
true,0.8505246,the budget is running low.. only got GBP 480.,,false,false,false,1,,,false,,,
true,0.8659876,"I got lots of money, to be precise 413400 ¥.",,false,false,true,1,,,true,,,
